,0,1
0,Scheme Code,Scheme Name
1,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
2,119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW
3,119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW
4,108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW
5,110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW
6,108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW
7,110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW
8,106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW
9,108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth
10,103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth
11,119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth
12,128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option
13,120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW
14,120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option
15,120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW
16,120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW
17,128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option
18,117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW
19,117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option
20,117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW
21,117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW
22,152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW
23,152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW
24,152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth
25,152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW
26,152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth
27,152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW
28,121936,BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW
29,127471,BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW
30,121934,BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW
31,121279,BANDHAN Banking & PSU Debt Fund - Direct Growth
32,121281,BANDHAN Banking & PSU Debt Fund - Direct IDCW
33,121935,BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW
34,121938,BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW
35,121933,BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW
36,127470,BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW
37,121931,BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW
38,121280,BANDHAN Banking & PSU Debt Fund - Regular Growth
39,121282,BANDHAN Banking & PSU Debt Fund - Regular IDCW
40,121932,BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW
41,121937,BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW
42,148629,Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option
43,148628,Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option
44,148630,Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option
45,148625,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option
46,148626,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option
47,148627,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option
48,150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option
49,150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout
50,150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option
51,150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)
52,124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth
53,124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW
54,124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest
55,124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly
56,124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly 
57,124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly
58,124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth
59,124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW
60,124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest
61,124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly
62,124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly 
63,124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly
64,140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option
65,140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option
66,140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option
67,140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option
68,140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option
69,140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option
70,140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option
71,140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option
72,140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option
73,140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option
74,129008,Franklin India Banking & PSU Debt Fund - Direct - Growth
75,129006,Franklin India Banking & PSU Debt Fund - Growth
76,129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW 
77,129007,Franklin India Banking and PSU Debt Fund - IDCW 
78,128628,HDFC Banking and PSU Debt Fund - Growth Option
79,128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan
80,128627,HDFC Banking and PSU Debt Fund - IDCW Option
81,128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan
82,151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW
83,151107,HSBC Banking and PSU Debt Fund - Direct Growth
84,151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW
85,151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW
86,151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW
87,151104,HSBC Banking and PSU Debt Fund - Regular Growth
88,151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW
89,151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW
90,112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW
91,112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW
92,130897,ICICI Prudential Banking and PSU Debt Fund - Bonus
93,120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW
94,120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth
95,120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW
96,120255,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW
97,130950,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus
98,131148,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option
99,112342,ICICI Prudential Banking and PSU Debt Fund - Growth
100,116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW
101,131147,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option
102,113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend
103,113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth
104,113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend
105,118234,Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)
106,120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option
107,120443,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)
108,120445,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)
109,118232,Invesco India Banking and PSU Fund - Growth Option
110,118233,Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)
111,148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option
112,148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option
113,148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option
114,148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option
115,123688,Kotak Banking and PSU Debt - Annual Dividend
116,123858,Kotak Banking and PSU Debt - Daily Dividend Reinvestment
117,123859,Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment
118,123690,Kotak Banking and PSU Debt - Growth
119,123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option
120,123689,Kotak Banking and PSU Debt Direct - Annual Dividend
121,123693,Kotak Banking and PSU Debt Direct - Growth
122,123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option
123,120337,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW
124,120338,LIC MF Banking & PSU Fund-Direct Plan-Growth
125,120339,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW
126,120336,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW
127,105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW
128,105823,LIC MF Banking & PSU Fund-Regular Plan-Growth
129,105856,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW
130,105857,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW
131,148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth
132,148417,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW
133,148416,Mirae Asset Banking and PSU Fund - Regular Plan - Growth
134,148418,Mirae Asset Banking and PSU Fund - Regular plan - IDCW
135,134552,Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option
136,134547,Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option
137,134546,Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option
138,134545,Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option
139,134555,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option
140,134550,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option
141,134556,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option
142,134554,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option
143,134548,NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option
144,134549,NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option
145,134551,NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option
146,134553,NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option
147,125502,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)
148,125503,SBI BANKING & PSU FUND - Direct Plan - Growth
149,125505,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)
150,125504,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)
151,125498,SBI BANKING & PSU FUND - Regular Paln - Growth
152,125499,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)
153,125501,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)
154,125500,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)
155,134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth
156,134370,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend
157,134369,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend
158,134355,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus
159,134358,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment
160,134356,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth
161,134359,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend
162,134361,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus
163,134362,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend
