SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
20MICRONS,20 Microns Limited,EQ,06-Oct-2008,5,1,INE144J01027,5
21STCENMGM,21st Century Management Services Limited,EQ,03-May-1995,10,1,INE253B01015,10
360ONE,360 ONE WAM LIMITED,EQ,19-Sep-2019,1,1,INE466L01038,1
3IINFOLTD,3i Infotech Limited,EQ,22-Oct-2021,10,1,INE748C01038,10
3MINDIA,3M India Limited,EQ,13-Aug-2004,10,1,INE470A01017,10
3PLAND,3P Land Holdings Limited,EQ,19-Jul-1995,2,1,INE105C01023,2
4THDIM,Fourth Dimension Solutions Limited,BE,06-Sep-2022,2,1,INE382T01030,2
5PAISA,5Paisa Capital Limited,EQ,16-Nov-2017,10,1,INE618L01018,10
63MOONS,63 moons technologies limited,EQ,20-Jun-2005,2,1,INE111B01023,2
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-Dec-2010,10,1,INE619I01012,10
AAATECH,AAA Technologies Limited,EQ,28-Nov-2022,10,1,INE0D0U01013,10
AAKASH,Aakash Exploration Services Limited,EQ,29-Sep-2020,1,1,INE087Z01024,1
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-Aug-2021,10,1,INE198H01019,10
AARON,Aaron Industries Limited,EQ,06-Nov-2020,10,1,INE721Z01010,10
AARTIDRUGS,Aarti Drugs Limited,EQ,19-Sep-2003,10,1,INE767A01016,10
AARTIIND,Aarti Industries Limited,EQ,08-Feb-1995,5,1,INE769A01020,5
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-Jan-2023,5,1,INE0LRU01027,5
AARTISURF,Aarti Surfactants Limited,EQ,14-Jul-2020,10,1,INE09EO01013,10
AARVEEDEN,Aarvee Denims & Exports Limited,EQ,21-Nov-2006,10,1,INE273D01019,10
AARVI,Aarvi Encon Limited,EQ,24-Jun-2020,10,1,INE754X01016,10
AAVAS,Aavas Financiers Limited,EQ,08-Oct-2018,10,1,INE216P01012,10
ABAN,Aban Offshore Limited,EQ,29-Mar-1995,2,1,INE421A01028,2
ABB,ABB India Limited,EQ,08-Feb-1995,2,1,INE117A01022,2
ABBOTINDIA,Abbott India Limited,EQ,08-Jan-2010,10,1,INE358A01014,10
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-Sep-2017,10,1,INE674K01013,10
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-2013,10,1,INE647O01011,10
ABMINTLLTD,ABM International Limited,BE,09-Sep-2021,10,1,INE251C01025,10
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-Oct-2021,5,1,INE404A01024,5
ACC,ACC Limited,EQ,20-Nov-1996,10,1,INE012A01025,10
ACCELYA,Accelya Solutions India Limited,EQ,01-Dec-1999,10,1,INE793A01012,10
ACCURACY,Accuracy Shipping Limited,EQ,11-Dec-2020,1,1,INE648Z01023,1
ACE,Action Construction Equipment Limited,EQ,26-Sep-2006,2,1,INE731H01025,2
ACEINTEG,Ace Integrated Solutions Limited,BE,04-Nov-2022,10,1,INE543V01017,10
ACI,Archean Chemical Industries Limited,EQ,21-Nov-2022,2,1,INE128X01021,2
ACL,Andhra Cements Limited,BE,10-May-2023,10,1,INE666E01020,10
ADANIENT,Adani Enterprises Limited,EQ,04-Jun-1997,1,1,INE423A01024,1
ADANIGREEN,Adani Green Energy Limited,EQ,18-Jun-2018,10,1,INE364U01010,10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-Nov-2007,2,1,INE742F01042,2
ADANIPOWER,Adani Power Limited,EQ,20-Aug-2009,10,1,INE814H01011,10
ADANITRANS,Adani Transmission Limited,EQ,31-Jul-2015,10,1,INE931S01010,10
ADFFOODS,ADF Foods Limited,EQ,15-Sep-2010,10,1,INE982B01019,10
ADL,Archidply Decor Limited,BE,01-Oct-2020,10,1,INE0CHO01012,10
ADORWELD,Ador Welding Limited,EQ,10-May-1995,10,1,INE045A01017,10
ADROITINFO,Adroit Infotech Limited,EQ,13-Aug-1997,10,1,INE737B01033,10
ADSL,Allied Digital Services Limited,EQ,25-Jul-2007,5,1,INE102I01027,5
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-Jun-2007,2,1,INE199C01026,2
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-Aug-2016,2,1,INE837H01020,2
AEGISCHEM,Aegis Logistics Limited,EQ,03-Apr-1996,1,1,INE208C01025,1
AETHER,Aether Industries Limited,EQ,03-Jun-2022,10,1,INE0BWX01014,10
AFFLE,Affle (India) Limited,EQ,08-Aug-2019,2,1,INE00WC01027,2
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-May-2014,10,1,INE204E01012,10
AGI,AGI Greenpac Limited,EQ,31-May-2000,2,1,INE415A01038,2
AGRITECH,Agri-Tech (India) Limited,EQ,28-Jan-2014,10,1,INE449G01018,10
AGROPHOS,Agro Phos India Limited,EQ,08-Mar-2019,10,1,INE740V01019,10
AGSTRA,AGS Transact Technologies Limited,EQ,31-Jan-2022,10,1,INE583L01014,10
AHL,Abans Holdings Limited,EQ,23-Dec-2022,2,1,INE00ZE01026,2
AHLADA,Ahlada Engineers Limited,EQ,28-Jan-2021,10,1,INE00PV01013,10
AHLEAST,Asian Hotels (East) Limited,EQ,11-Aug-2010,10,1,INE926K01017,10
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-Dec-2009,2,1,INE758C01029,2
AIAENG,AIA Engineering Limited,EQ,14-Dec-2005,2,1,INE212H01026,2
AIRAN,Airan Limited,EQ,03-May-2019,2,1,INE645W01026,2
AIROLAM,Airo Lam limited,EQ,13-Oct-2021,10,1,INE801L01010,10
AJANTPHARM,Ajanta Pharma Limited,EQ,29-May-2000,2,1,INE031B01049,2
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-Jun-2009,10,1,INE298G01027,10
AJOONI,Ajooni Biotech Limited,EQ,07-May-2021,2,1,INE820Y01021,2
AKASH,Akash Infra-Projects Limited,EQ,11-Oct-2019,10,1,INE737W01013,10
AKG,Akg Exim Limited,EQ,16-Feb-2021,10,1,INE00Y801016,10
AKI,AKI India Limited,EQ,06-Apr-2023,10,1,INE642Z01018,10
AKSHAR,Akshar Spintex Limited,BE,23-May-2022,10,1,INE256Z01017,10
AKSHARCHEM,AksharChem India Limited,EQ,28-Mar-2017,10,1,INE542B01011,10
AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-Aug-2000,5,1,INE523B01011,5
AKZOINDIA,Akzo Nobel India Limited,EQ,28-Jun-2001,10,1,INE133A01011,10
ALANKIT,Alankit Limited,EQ,30-Jun-2015,1,1,INE914E01040,1
ALBERTDAVD,Albert David Limited,EQ,14-Jun-2016,10,1,INE155C01010,10
ALEMBICLTD,Alembic Limited,EQ,22-Sep-1999,2,1,INE426A01027,2
ALICON,Alicon Castalloy Limited,EQ,29-Sep-2006,5,1,INE062D01024,5
ALKALI,Alkali Metals Limited,EQ,06-Nov-2008,10,1,INE773I01017,10
ALKEM,Alkem Laboratories Limited,EQ,23-Dec-2015,2,1,INE540L01014,2
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-Nov-2007,2,1,INE150B01039,2
ALLCARGO,Allcargo Logistics Limited,EQ,23-Jun-2006,2,1,INE418H01029,2
ALLSEC,Allsec Technologies Limited,EQ,09-May-2005,10,1,INE835G01018,10
ALMONDZ,Almondz Global Securities Limited,EQ,16-Jun-2008,6,1,INE326B01027,6
ALOKINDS,Alok Industries Limited,EQ,19-Feb-2020,1,1,INE270A01029,1
ALPA,Alpa Laboratories Limited,EQ,06-Aug-2007,10,1,INE385I01010,10
ALPHAGEO,Alphageo (India) Limited,EQ,11-May-2007,10,1,INE137C01018,10
ALPSINDUS,Alps Industries Limited,EQ,24-Apr-1996,10,1,INE093B01015,10
AMARAJABAT,Amara Raja Batteries Limited,EQ,05-Sep-2003,1,1,INE885A01032,1
AMBER,Amber Enterprises India Limited,EQ,30-Jan-2018,10,1,INE371P01015,10
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-Jun-2004,10,1,INE792B01012,10
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-Jan-2008,10,1,INE540G01014,10
AMBUJACEM,Ambuja Cements Limited,EQ,18-Feb-1998,2,1,INE079A01024,2
AMDIND,AMD Industries Limited,EQ,19-Mar-2007,10,1,INE005I01014,10
AMIORG,Ami Organics Limited,EQ,14-Sep-2021,10,1,INE00FF01017,10
AMJLAND,Amj Land Holdings Limited,EQ,08-Feb-1995,2,1,INE606A01024,2
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-Jan-2015,1,1,INE098F01031,1
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-Dec-2021,5,1,INE463V01026,5
ANANTRAJ,Anant Raj Limited,EQ,27-Sep-2006,2,1,INE242C01024,2
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-May-2004,10,1,INE435A01028,10
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-Nov-1995,2,1,INE715B01021,2
ANDREWYU,Andrew Yule & Company Limited,EQ,05-Aug-2021,2,1,INE449C01025,2
ANGELONE,Angel One Limited,EQ,05-Oct-2020,10,1,INE732I01013,10
ANIKINDS,Anik Industries Limited,EQ,21-May-2008,10,1,INE087B01017,10
ANKITMETAL,Ankit Metal & Power Limited,EQ,14-Mar-2013,10,1,INE106I01010,10
ANMOL,Anmol India Limited,EQ,04-Jun-2021,10,1,INE02AR01019,10
ANSALAPI,Ansal Properties & Infrastructure Limited,BE,27-Jan-2006,5,1,INE436A01026,5
ANTGRAPHIC,Antarctica Limited,BE,31-Dec-1997,1,1,INE414B01021,1
ANUP,The Anup Engineering Limited,EQ,01-Mar-2019,10,1,INE294Z01018,10
ANURAS,Anupam Rasayan India Limited,EQ,24-Mar-2021,10,1,INE930P01018,10
APARINDS,Apar Industries Limited,EQ,12-Jul-2004,10,1,INE372A01015,10
APCL,Anjani Portland Cement Limited,EQ,10-Apr-2017,10,1,INE071F01012,10
APCOTEXIND,Apcotex Industries Limited,EQ,06-Sep-1995,2,1,INE116A01032,2
APEX,Apex Frozen Foods Limited,EQ,04-Sep-2017,10,1,INE346W01013,10
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-Dec-2011,2,1,INE702C01027,2
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-Sep-2011,2,1,INE901L01018,2
APOLLO,Apollo Micro Systems Limited,EQ,22-Jan-2018,1,1,INE713T01028,1
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-Jan-1996,5,1,INE437A01024,5
APOLLOPIPE,Apollo Pipes Limited,EQ,11-Nov-2019,10,1,INE126J01016,10
APOLLOTYRE,Apollo Tyres Limited,EQ,31-May-1995,1,1,INE438A01022,1
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-Jan-2015,5,1,INE451F01024,5
APTECHT,Aptech Limited,EQ,27-Sep-2002,10,1,INE266F01018,10
APTUS,Aptus Value Housing Finance India Limited,EQ,24-Aug-2021,2,1,INE852O01025,2
ARCHIDPLY,Archidply Industries Limited,EQ,04-Jul-2008,10,1,INE877I01016,10
ARCHIES,Archies Limited,EQ,02-Sep-1998,2,1,INE731A01020,2
ARENTERP,Rajdarshan Industries Limited,EQ,18-Oct-1995,10,1,INE610C01014,10
ARIES,Aries Agro Limited,EQ,11-Jan-2008,10,1,INE298I01015,10
ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-Jun-2021,1,1,INE420B01036,1
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-Mar-2017,10,1,INE643K01018,10
ARMANFIN,Arman Financial Services Limited,EQ,14-Jun-2016,10,1,INE109C01017,10
AROGRANITE,Aro Granite Industries Limited,EQ,24-Apr-2007,10,1,INE210C01013,10
ARROWGREEN,Arrow Greentech Limited,EQ,21-May-2015,10,1,INE570D01018,10
ARSHIYA,Arshiya Limited,EQ,14-Dec-2009,2,1,INE968D01022,2
ARTEMISMED,Artemis Medicare Services Limited,EQ,23-Jan-2020,1,1,INE025R01021,1
ARTNIRMAN,Art Nirman Limited,EQ,18-Oct-2021,10,1,INE738V01013,10
ARVEE,Arvee Laboratories (India) Limited,EQ,22-Mar-2021,10,1,INE006Z01016,10
ARVIND,Arvind Limited,EQ,08-Feb-1995,10,1,INE034A01011,10
ARVINDFASN,Arvind Fashions Limited,EQ,08-Mar-2019,4,1,INE955V01021,4
ARVSMART,Arvind SmartSpaces Limited,EQ,26-Aug-2015,10,1,INE034S01021,10
ASAHIINDIA,Asahi India Glass Limited,EQ,18-Mar-1998,1,1,INE439A01020,1
ASAHISONG,Asahi Songwon Colors Limited,EQ,29-Aug-2011,10,1,INE228I01012,10
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-Mar-2002,10,1,INE900C01027,10
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-Feb-2020,10,1,INE073G01016,10
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-Sep-1995,2,1,INE348A01023,2
ASHIANA,Ashiana Housing Limited,EQ,29-Jun-2011,2,1,INE365D01021,2
ASHIMASYN,Ashima Limited,EQ,27-Jul-1995,10,1,INE440A01010,10
ASHOKA,Ashoka Buildcon Limited,EQ,14-Oct-2010,5,1,INE442H01029,5
ASHOKLEY,Ashok Leyland Limited,EQ,25-May-1995,1,1,INE208A01029,1
ASIANENE,Asian Energy Services Limited,BE,09-Dec-2021,10,1,INE276G01015,10
ASIANHOTNR,Asian Hotels (North) Limited,BE,07-Apr-2010,10,1,INE363A01022,10
ASIANPAINT,Asian Paints Limited,EQ,31-May-1995,1,1,INE021A01026,1
ASIANTILES,Asian Granito India Limited,EQ,23-Aug-2007,10,1,INE022I01019,10
ASMS,Bartronics India Limited,BZ,09-Feb-2023,1,1,INE855F01042,1
ASPINWALL,Aspinwall and Company Limited,EQ,14-Jun-2016,10,1,INE991I01015,10
ASTEC,Astec LifeSciences Limited,EQ,25-Nov-2009,10,1,INE563J01010,10
ASTERDM,Aster DM Healthcare Limited,EQ,26-Feb-2018,10,1,INE914M01019,10
ASTRAL,Astral Limited,EQ,20-Mar-2007,1,1,INE006I01046,1
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-Nov-2004,2,1,INE386C01029,2
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-May-2001,2,1,INE203A01020,2
ASTRON,Astron Paper & Board Mill Limited,EQ,29-Dec-2017,10,1,INE646X01014,10
ATALREAL,Atal Realtech Limited,EQ,12-May-2023,10,1,INE0ALR01011,10
ATAM,Atam Valves Limited,EQ,10-May-2023,10,1,INE09KD01013,10
ATFL,Agro Tech Foods Limited,EQ,06-Dec-2002,10,1,INE209A01019,10
ATGL,Adani Total Gas Limited,EQ,05-Nov-2018,1,1,INE399L01023,1
ATLANTA,Atlanta  Limited,EQ,25-Sep-2006,2,1,INE285H01022,2
ATUL,Atul Limited,EQ,06-May-1998,10,1,INE100A01010,10
ATULAUTO,Atul Auto Limited,EQ,26-Jun-2013,5,1,INE951D01028,5
AUBANK,AU Small Finance Bank Limited,EQ,10-Jul-2017,10,1,INE949L01017,10
AURIONPRO,Aurionpro Solutions Limited,EQ,25-Oct-2005,10,1,INE132H01018,10
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-Jul-2000,1,1,INE406A01037,1
AURUM,Aurum PropTech Limited,EQ,19-Aug-2015,5,1,INE898S01029,5
AUSOMENT,Ausom Enterprise Limited,EQ,17-Apr-1996,10,1,INE218C01016,10
AUTOAXLES,Automotive Axles Limited,EQ,29-May-2003,10,1,INE449A01011,10
AUTOIND,Autoline Industries Limited,EQ,31-Jan-2007,10,1,INE718H01014,10
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-Jul-2017,10,1,INE349W01017,10
AVALON,Avalon Technologies Limited,EQ,18-Apr-2023,2,1,INE0LCL01028,2
AVANTIFEED,Avanti Feeds Limited,EQ,15-Apr-2015,1,1,INE871C01038,1
AVG,AVG Logistics Limited,EQ,12-May-2023,10,1,INE680Z01018,10
AVONMORE,Avonmore Capital & Management Services Limited,EQ,04-Jan-2023,10,1,INE323B01016,10
AVROIND,AVRO INDIA LIMITED,EQ,07-Apr-2022,10,1,INE652Z01017,10
AVTNPL,AVT Natural Products Limited,EQ,10-Jan-2007,1,1,INE488D01021,1
AWHCL,Antony Waste Handling Cell Limited,EQ,01-Jan-2021,5,1,INE01BK01022,5
AWL,Adani Wilmar Limited,EQ,08-Feb-2022,1,1,INE699H01024,1
AXISBANK,Axis Bank Limited,EQ,16-Nov-1998,2,1,INE238A01034,2
