Symbol,Underlying Assets and Securities,Security Name,Date of Listing,Market NIFTY,ISIN Number,Face Value,,,
NIFTYBEES,NIFTY 50,NIFTY IND ETF NIFTY BEES,8-Jan-2002,1,INF204KB14I2,1,,,
JUNIORBEES,NIFTY NIFTY 50,NIFTY IND ETF JUNIOR BEES,6-Mar-2003,1,INF732E01045,1.25,,,
LIQUIDBEES,Government Securities,NIFTY IND ETF LIQUID BEES,16-Jul-2003,1,INF732E01037,1000,,,
BANKBEES,NIFTY Bank,NIFTY IND ETF BANK BEES,4-Jun-2004,1,INF204KB15I9,1,,,
GOLDBEES,Gold,NIFTY IND ETF GOLD BEES,19-Mar-2007,1,INF204KB17I5,1,,,
GOLDSHARE,Gold,UTI Mutual Fund - UTI Gol,17-Apr-2007,1,INF789F1AUX7,1,,,
KOTAKGOLD,Gold,Kotak Mutual Fund - Gold,8-Aug-2007,1,INF373I01049,10,,,
PSUBNKBEES,NIFTY PSU Bank,NIFTY IND ETF PSU BANK BEES,1-NIFTY-2007,1,INF204KB16I7,1,,,
KOTAKPSUBK,NIFTY PSU Bank,Kotak Mahindra Mutual Fun,16-NIFTY-2007,1,INF373I01023,10,,,
QGOLDHALF,Gold,Quantum Gold Fund -Exchan,28-Feb-2008,1,INF082J01010,100,,,
QNIFTY,NIFTY 50,Quantum NIFTY ETF,18-Jul-2008,1,INF082J01028,10,,,
SHARIABEES,Shariah,NIFTY IND ETF SHARIAH BEES,1-Apr-2009,1,INF732E01128,10,,,
SETFGOLD,Gold,SBI-ETF Gold,28-NIFTY-2009,1,INF200K01099,100,,,
KOTAKNIFTY,NIFTY 50,Kotak NIFTY ETF,11-Feb-2010,1,INF174K014P6,1,,,
HNGSNGBEES,Hang Seng Index,NIFTY IND ETF HANGSENG BEES,18-Mar-2010,1,INF204KB19I1,1,,,
IVZINGOLD,Gold,Invesco India Gold ETF,22-Mar-2010,1,INF205K01361,100,,,
MOM50,NIFTY 50 Index,Motilal Oswal M50 ETF,30-Jul-2010,1,INF247L01536,7,,,
HDFCMFGETF,Gold,HDFC Gold ETF,19-Aug-2010,1,INF179KC1981,1,,,
ICICIGOLD,Gold,ICICI Prud Gold ETF,2-Sep-2010,1,INF109KC1NT3,1,,,
INFRABEES,NIFTY Infra,NIFTY IND ETF INFRA BEES,5-NIFTY-2010,1,INF732E01268,10,,,
AXISGOLD,Gold,Axis MF - Axis Gold ETF,16-NIFTY-2010,1,INF846K01W80,1,,,
MOM100,NIFTY Midcap 100 Index,Motilal Os Midcap100 ETF,4-Feb-2011,1,INF247L01023,10,,,
MON100,NASDAQ-100 Index,Motilal Os NASDAQ100 ETF,31-Mar-2011,1,INF247L01AP3,1,,,
BSLGOLDETF,Gold,AB SL Gold ETF-GO,20-NIFTY-2011,1,INF209K01HT2,10,,,
IVZINNIFTY,NIFTY 50,Invesco MF - NIFTY ETF,17-Jun-2011,1,INF205K01DA9,10,,,
BSLNIFTY,NIFTY 50,AB SL NIFTY ETF - GO,27-Jul-2011,1,INF209K01IR4,10,,,
IDBIGOLD,Gold,IDBI MF - IDBI Gold ETF,17-NIFTY-2011,1,INF397L01554,100,,,
ICICINIFTY,NIFTY 50,ICICI Pru NIFTY ETF,26-Mar-2013,1,INF109K012R6,10,,,
NETFNIF100,NIFTY 100,NIFTY IND ETF NIFTY 100,28-Mar-2013,1,INF204K014N5,10,,,
ICICINF100,NIFTY 100,ICICI Pru NIFTY 100 ETF,26-Aug-2013,1,INF109KA1962,10,,,
CPSEETF,NIFTY CPSE,CPSE ETF,4-Apr-2014,1,INF457M01133,10,,,
NETFCONSUM,NIFTY Consumption,NIFTY IND ETF CONSUMPTION,11-Apr-2014,1,INF204KA1LD7,10,,,
NETFDIVOPP,NIFTY NIFTY Opps 50,NIFTY IND ETF DIV OPP,23-Apr-2014,1,INF204KA1MS3,10,,,
ICICISENSX,SENSEX,ICICI Pru Sensex ETF,23-Jul-2014,1,INF346A01034,10,,,
KOTAKBKETF,NIFTY Bank,KOTAKMAMC - KOTAKBKETF,11-Dec-2014,1,INF174K01F59,10,,,
LICNETFGSC,GSEC10 NIFTY Index,LICNAMC - LICNMFET,1-Jan-2015,1,INF767K01MV5,10,,,
SETFNIFBK,NIFTY NIFTY 50,SBI-ETF NIFTY Bank,25-Mar-2015,1,INF200KA1580,10,,,
SETFNN50,NIFTY Bank,SBI-ETF NIFTY NIFTY 50,25-Mar-2015,1,INF200KA1598,10,,,
NETFNV20,NIFTY Value 20,NIFTY IND ETF ETF NV20,23-Jun-2015,1,INF204KB18I3,1,,,
SETFNIF50,NIFTY 50,SBI-ETF NIFTY 50,27-Jul-2015,1,INF200KA1FS1,10,,,
UTINIFTETF,NIFTY 50,UTIAMC - UTINIFTETF,3-Sep-2015,1,INF789FB1X41,10,,,
UTISENSETF,SENSEX,UTIAMC - UTISENSETF,3-Sep-2015,1,INF789FB1X58,10,,,
LICNETFN50,NIFTY 50,LICNAMC - LICNFENGP,30-NIFTY-2015,1,INF767K01OS7,10,,,
LICNETFSEN,SENSEX,LICNAMC - LICNFESGP,7-Dec-2015,1,INF767K01OT5,10,,,
KOTAKNV20,NIFTY Value 20,KOTAKMAMC - KTKNV20ETF,9-Dec-2015,1,INF174K01Z71,10,,,
HDFCNIFETF,NIFTY 50,HDFCAMC - HDFCNIFETF,16-Dec-2015,1,INF179KC1965,76,,,
HDFCSENETF,SENSEX,HDFCAMC - HDFCSENETF,16-Dec-2015,1,INF179KC1973,250,,,
EBANK,NIFTY Bank,Edelweiss ETF-NIFTY Bank,18-Dec-2015,1,INF754K01EL1,10,,,
LICNFNHGP,NIFTY 100,LICNAMC - LICNFNHGP,28-Mar-2016,1,INF767K01PC8,10,,,
SETF10GILT,NIFTY 10 yr Benchmark G-Sec Index,SBIAMC - SETF10GILT,17-Jun-2016,1,INF200KA1JT1,10,,,
ICICINV20,NIFTY Value 20,ICICI Pru NV20 ETF,22-Jun-2016,1,INF109KB1WY5,10,,,
ICICIMCAP,NIFTY GS 8 13Yr,ICICI Pru Midcap Sel ETF,11-Jul-2016,1,INF109KB1XT3,10,,,
NETFLTGILT,S&P BSE Midcap Select Index,NIFTY IND ETF LONGTERM GILT,11-Jul-2016,1,INF204KB1882,10,,,
IDFNIFTYET,NIFTY 50,IDFCAMC - IDFNIFTYET,18-NIFTY-2016,1,INF194KA1U07,10,,,
AXISNIFTY,NIFTY 50,AXISAMC - AXISNIFTY,10-Jul-2017,1,INF846K01W98,10,,,
ICICILOVOL,NIFTY 100 Low Volatility 30 Index,ICICI Pru NIFTY Low vol30,10-Jul-2017,1,INF109KB10T8,10,,,
UTINEXT50,NIFTY NIFTY 50,UTIAMC - UTINEXT50,8-Aug-2017,1,INF789F1AUW9,1,,,
ICICIB22,S&P BSE BHARAT 22 index,ICICIPRAMC - BHARATIWIN,28-NIFTY-2017,1,INF109KB15Y7,10,,,
LIQUIDETF,NIFTY rate index,DSPAMC - LIQUIDETF,20-Mar-2018,1,INF740KA1EU7,1000,,,
ICICI500,S&P BSE 500 index,ICICIPRAMC - ICICI500,16-NIFTY-2018,1,INF109KC1CZ3,10,,,
ICICINXT50,NIFTY NIFTY 50,ICICIPRAMC - ICICINXT50,30-Aug-2018,1,INF109KC1NS5,1,,,
ICICILIQ,S&P BSE Liquid Rate Index.,ICICIPRAMC - ICICILIQ,26-Sep-2018,1,INF109KC1KT9,1000,,,
MAN50ETF,NIFTY 50,MIRAEAMC - MAN50ETF,26-NIFTY-2018,1,INF769K01EG9,100,,,
SBIETFQLTY,NIFTY 200 Quality 30 Index,SBIAMC - SBIETFQLTY,17-Dec-2018,1,INF200KA1WX6,10,,,
ABSLNN50ET,NIFTY NIFTY 50,BIRLASLAMC - ABSLNN50ET,21-Dec-2018,1,INF209KB1B87,10,,,
NETF,NIFTY 50,TATAAML - NETF,4-Jan-2019,1,INF277K015R5,10,,,
NETFMID150,NIFTY Midcap 150,NIFTY IND ETF MIDCAP 150,4-Feb-2019,1,INF204KB1V68,10,,,
UTISXN50,BSE Sensex NIFTY 50,UTIAMC - UTISXN50,13-Mar-2019,1,INF789F1AUU3,1,,,
IBMFNIFTY,NIFTY 50,IBULLSAMC - IBMFNIFTY,8-NIFTY-2019,1,INF666M01FS5,10,,,
