0,"SYMBOL","NAME OF COMPANY","yTickers"
1,"20MICRONS","20 Microns Limited","20MICRONS.NS"
2,"21STCENMGM","21st Century Management Services Limited","21STCENMGM.NS"
3,"360ONE","360 ONE WAM LIMITED","360ONE.NS"
4,"3IINFOLTD","3i Infotech Limited","3IINFOLTD.NS"
5,"3MINDIA","3M India Limited","3MINDIA.NS"
6,"3PLAND","3P Land Holdings Limited","3PLAND.NS"
7,"5PAISA","5Paisa Capital Limited","5PAISA.NS"
8,"63MOONS","63 moons technologies limited","63MOONS.NS"
9,"A2ZINFRA","A2Z Infra Engineering Limited","A2ZINFRA.NS"
10,"AAATECH","AAA Technologies Limited","AAATECH.NS"
11,"AADHARHFC","Aadhar Housing Finance Limited","AADHARHFC.NS"
12,"AAKASH","Aakash Exploration Services Limited","AAKASH.NS"
13,"AAREYDRUGS","Aarey Drugs & Pharmaceuticals Limited","AAREYDRUGS.NS"
14,"AARON","Aaron Industries Limited","AARON.NS"
15,"AARTECH","Aartech Solonics Limited","AARTECH.NS"
16,"AARTIDRUGS","Aarti Drugs Limited","AARTIDRUGS.NS"
17,"AARTIIND","Aarti Industries Limited","AARTIIND.NS"
18,"AARTIPHARM","Aarti Pharmalabs Limited","AARTIPHARM.NS"
19,"AARTISURF","Aarti Surfactants Limited","AARTISURF.NS"
20,"AARVEEDEN","Aarvee Denims & Exports Limited","AARVEEDEN.NS"
21,"AARVI","Aarvi Encon Limited","AARVI.NS"
22,"AAVAS","Aavas Financiers Limited","AAVAS.NS"
23,"ABAN","Aban Offshore Limited","ABAN.NS"
24,"ABB","ABB India Limited","ABB.NS"
25,"ABBOTINDIA","Abbott India Limited","ABBOTINDIA.NS"
26,"ABCAPITAL","Aditya Birla Capital Limited","ABCAPITAL.NS"
27,"ABDL","Allied Blenders and Distillers Limited","ABDL.NS"
28,"ABFRL","Aditya Birla Fashion and Retail Limited","ABFRL.NS"
29,"ABINFRA","A B Infrabuild Limited","ABINFRA.NS"
30,"ABMINTLLTD","ABM International Limited","ABMINTLLTD.NS"
31,"ABREL","Aditya Birla Real Estate Limited","ABREL.NS"
32,"ABSLAMC","Aditya Birla Sun Life AMC Limited","ABSLAMC.NS"
33,"ACC","ACC Limited","ACC.NS"
34,"ACCELYA","Accelya Solutions India Limited","ACCELYA.NS"
35,"ACCURACY","Accuracy Shipping Limited","ACCURACY.NS"
36,"ACE","Action Construction Equipment Limited","ACE.NS"
37,"ACEINTEG","Ace Integrated Solutions Limited","ACEINTEG.NS"
38,"ACI","Archean Chemical Industries Limited","ACI.NS"
39,"ACL","Andhra Cements Limited","ACL.NS"
40,"ACLGATI","Allcargo Gati Limited","ACLGATI.NS"
41,"ACMESOLAR","Acme Solar Holdings Limited","ACMESOLAR.NS"
42,"ADANIENSOL","Adani Energy Solutions Limited","ADANIENSOL.NS"
43,"ADANIENT","Adani Enterprises Limited","ADANIENT.NS"
44,"ADANIGREEN","Adani Green Energy Limited","ADANIGREEN.NS"
45,"ADANIPORTS","Adani Ports and Special Economic Zone Limited","ADANIPORTS.NS"
46,"ADANIPOWER","Adani Power Limited","ADANIPOWER.NS"
47,"ADFFOODS","ADF Foods Limited","ADFFOODS.NS"
48,"ADL","Archidply Decor Limited","ADL.NS"
49,"ADOR","Ador Welding Limited","ADOR.NS"
50,"ADROITINFO","Adroit Infotech Limited","ADROITINFO.NS"
51,"ADSL","Allied Digital Services Limited","ADSL.NS"
52,"ADVANIHOTR","Advani Hotels & Resorts (India) Limited","ADVANIHOTR.NS"
53,"ADVENZYMES","Advanced Enzyme Technologies Limited","ADVENZYMES.NS"
54,"AEGISLOG","Aegis Logistics Limited","AEGISLOG.NS"
55,"AEROFLEX","Aeroflex Industries Limited","AEROFLEX.NS"
56,"AETHER","Aether Industries Limited","AETHER.NS"
57,"AFCONS","Afcons Infrastructure Limited","AFCONS.NS"
58,"AFFLE","Affle 3i Limited","AFFLE.NS"
59,"AFFORDABLE","Affordable Robotic & Automation Limited","AFFORDABLE.NS"
60,"AFIL","Akme Fintrade (India) Limited","AFIL.NS"
61,"AFSL","Abans Financial Services Limited","AFSL.NS"
62,"AGARIND","Agarwal Industrial Corporation Limited","AGARIND.NS"
63,"AGARWALEYE","Dr. Agarwal's Health Care Limited","AGARWALEYE.NS"
64,"AGI","AGI Greenpac Limited","AGI.NS"
65,"AGIIL","Agi Infra Limited","AGIIL.NS"
66,"AGRITECH","Agri-Tech (India) Limited","AGRITECH.NS"
67,"AGROPHOS","Agro Phos India Limited","AGROPHOS.NS"
68,"AGSTRA","AGS Transact Technologies Limited","AGSTRA.NS"
69,"AHLADA","Ahlada Engineers Limited","AHLADA.NS"
70,"AHLEAST","Asian Hotels (East) Limited","AHLEAST.NS"
71,"AHLUCONT","Ahluwalia Contracts (India) Limited","AHLUCONT.NS"
72,"AIAENG","AIA Engineering Limited","AIAENG.NS"
73,"AIIL","Authum Investment & Infrastructure Limited","AIIL.NS"
74,"AIRAN","Airan Limited","AIRAN.NS"
75,"AIROLAM","Airo Lam limited","AIROLAM.NS"
76,"AJANTPHARM","Ajanta Pharma Limited","AJANTPHARM.NS"
77,"AJAXENGG","Ajax Engineering Limited","AJAXENGG.NS"
78,"AJMERA","Ajmera Realty & Infra India Limited","AJMERA.NS"
79,"AJOONI","Ajooni Biotech Limited","AJOONI.NS"
80,"AKASH","Akash Infra-Projects Limited","AKASH.NS"
81,"AKG","Akg Exim Limited","AKG.NS"
82,"AKI","AKI India Limited","AKI.NS"
83,"AKSHAR","Akshar Spintex Limited","AKSHAR.NS"
84,"AKSHARCHEM","AksharChem India Limited","AKSHARCHEM.NS"
85,"AKSHOPTFBR","Aksh Optifibre Limited","AKSHOPTFBR.NS"
86,"AKUMS","Akums Drugs and Pharmaceuticals Limited","AKUMS.NS"
87,"AKZOINDIA","Akzo Nobel India Limited","AKZOINDIA.NS"
88,"ALANKIT","Alankit Limited","ALANKIT.NS"
89,"ALBERTDAVD","Albert David Limited","ALBERTDAVD.NS"
90,"ALEMBICLTD","Alembic Limited","ALEMBICLTD.NS"
91,"ALICON","Alicon Castalloy Limited","ALICON.NS"
92,"ALIVUS","Alivus Life Sciences Limited","ALIVUS.NS"
93,"ALKALI","Alkali Metals Limited","ALKALI.NS"
94,"ALKEM","Alkem Laboratories Limited","ALKEM.NS"
95,"ALKYLAMINE","Alkyl Amines Chemicals Limited","ALKYLAMINE.NS"
96,"ALLCARGO","Allcargo Logistics Limited","ALLCARGO.NS"
97,"ALLDIGI","Alldigi Tech Limited","ALLDIGI.NS"
98,"ALMONDZ","Almondz Global Securities Limited","ALMONDZ.NS"
99,"ALOKINDS","Alok Industries Limited","ALOKINDS.NS"
100,"ALPA","Alpa Laboratories Limited","ALPA.NS"
101,"ALPHAGEO","Alphageo (India) Limited","ALPHAGEO.NS"
102,"ALPSINDUS","Alps Industries Limited","ALPSINDUS.NS"
103,"AMBER","Amber Enterprises India Limited","AMBER.NS"
104,"AMBICAAGAR","Ambica Agarbathies & Aroma industries Limited","AMBICAAGAR.NS"
105,"AMBIKCO","Ambika Cotton Mills Limited","AMBIKCO.NS"
106,"AMBUJACEM","Ambuja Cements Limited","AMBUJACEM.NS"
107,"AMDIND","AMD Industries Limited","AMDIND.NS"
108,"AMIORG","Ami Organics Limited","AMIORG.NS"
109,"AMJLAND","Amj Land Holdings Limited","AMJLAND.NS"
110,"AMNPLST","Amines & Plasticizers Limited","AMNPLST.NS"
111,"AMRUTANJAN","Amrutanjan Health Care Limited","AMRUTANJAN.NS"
112,"ANANDRATHI","Anand Rathi Wealth Limited","ANANDRATHI.NS"
113,"ANANTRAJ","Anant Raj Limited","ANANTRAJ.NS"
114,"ANDHRAPAP","ANDHRA PAPER LIMITED","ANDHRAPAP.NS"
115,"ANDHRSUGAR","The Andhra Sugars Limited","ANDHRSUGAR.NS"
116,"ANGELONE","Angel One Limited","ANGELONE.NS"
117,"ANIKINDS","Anik Industries Limited","ANIKINDS.NS"
118,"ANKITMETAL","Ankit Metal & Power Limited","ANKITMETAL.NS"
119,"ANMOL","Anmol India Limited","ANMOL.NS"
120,"ANSALAPI","Ansal Properties & Infrastructure Limited","ANSALAPI.NS"
121,"ANTGRAPHIC","Antarctica Limited","ANTGRAPHIC.NS"
122,"ANUHPHR","Anuh Pharma Limited","ANUHPHR.NS"
123,"ANUP","The Anup Engineering Limited","ANUP.NS"
124,"ANURAS","Anupam Rasayan India Limited","ANURAS.NS"
125,"APARINDS","Apar Industries Limited","APARINDS.NS"
126,"APCL","Anjani Portland Cement Limited","APCL.NS"
127,"APCOTEXIND","Apcotex Industries Limited","APCOTEXIND.NS"
128,"APEX","Apex Frozen Foods Limited","APEX.NS"
129,"APLAPOLLO","APL Apollo Tubes Limited","APLAPOLLO.NS"
130,"APLLTD","Alembic Pharmaceuticals Limited","APLLTD.NS"
131,"APOLLO","Apollo Micro Systems Limited","APOLLO.NS"
132,"APOLLOHOSP","Apollo Hospitals Enterprise Limited","APOLLOHOSP.NS"
133,"APOLLOPIPE","Apollo Pipes Limited","APOLLOPIPE.NS"
134,"APOLLOTYRE","Apollo Tyres Limited","APOLLOTYRE.NS"
135,"APOLSINHOT","Apollo Sindoori Hotels Limited","APOLSINHOT.NS"
136,"APTECHT","Aptech Limited","APTECHT.NS"
137,"APTUS","Aptus Value Housing Finance India Limited","APTUS.NS"
138,"ARCHIDPLY","Archidply Industries Limited","ARCHIDPLY.NS"
139,"ARCHIES","Archies Limited","ARCHIES.NS"
140,"ARE&M","Amara Raja Energy & Mobility Limited","ARE&M.NS"
141,"ARENTERP","Rajdarshan Industries Limited","ARENTERP.NS"
142,"ARIES","Aries Agro Limited","ARIES.NS"
143,"ARIHANTCAP","Arihant Capital Markets Limited","ARIHANTCAP.NS"
144,"ARIHANTSUP","Arihant Superstructures Limited","ARIHANTSUP.NS"
145,"ARKADE","Arkade Developers Limited","ARKADE.NS"
146,"ARMANFIN","Arman Financial Services Limited","ARMANFIN.NS"
147,"AROGRANITE","Aro Granite Industries Limited","AROGRANITE.NS"
148,"ARROWGREEN","Arrow Greentech Limited","ARROWGREEN.NS"
149,"ARSHIYA","Arshiya Limited","ARSHIYA.NS"
150,"ARSSINFRA","ARSS Infrastructure Projects Limited","ARSSINFRA.NS"
151,"ARTEMISMED","Artemis Medicare Services Limited","ARTEMISMED.NS"
152,"ARTNIRMAN","Art Nirman Limited","ARTNIRMAN.NS"
153,"ARVEE","Arvee Laboratories (India) Limited","ARVEE.NS"
154,"ARVIND","Arvind Limited","ARVIND.NS"
155,"ARVINDFASN","Arvind Fashions Limited","ARVINDFASN.NS"
156,"ARVSMART","Arvind SmartSpaces Limited","ARVSMART.NS"
157,"ASAHIINDIA","Asahi India Glass Limited","ASAHIINDIA.NS"
158,"ASAHISONG","Asahi Songwon Colors Limited","ASAHISONG.NS"
159,"ASAL","Automotive Stampings and Assemblies Limited","ASAL.NS"
160,"ASALCBR","Associated Alcohols & Breweries Ltd.","ASALCBR.NS"
161,"ASHAPURMIN","Ashapura Minechem Limited","ASHAPURMIN.NS"
162,"ASHIANA","Ashiana Housing Limited","ASHIANA.NS"
163,"ASHIMASYN","Ashima Limited","ASHIMASYN.NS"
164,"ASHOKA","Ashoka Buildcon Limited","ASHOKA.NS"
165,"ASHOKAMET","Ashoka Metcast Limited","ASHOKAMET.NS"
166,"ASHOKLEY","Ashok Leyland Limited","ASHOKLEY.NS"
167,"ASIANENE","Asian Energy Services Limited","ASIANENE.NS"
168,"ASIANHOTNR","Asian Hotels (North) Limited","ASIANHOTNR.NS"
169,"ASIANPAINT","Asian Paints Limited","ASIANPAINT.NS"
170,"ASIANTILES","Asian Granito India Limited","ASIANTILES.NS"
171,"ASKAUTOLTD","ASK Automotive Limited","ASKAUTOLTD.NS"
172,"ASMS","Bartronics India Limited","ASMS.NS"
173,"ASPINWALL","Aspinwall and Company Limited","ASPINWALL.NS"
174,"ASTEC","Astec LifeSciences Limited","ASTEC.NS"
175,"ASTERDM","Aster DM Healthcare Limited","ASTERDM.NS"
176,"ASTRAL","Astral Limited","ASTRAL.NS"
177,"ASTRAMICRO","Astra Microwave Products Limited","ASTRAMICRO.NS"
178,"ASTRAZEN","AstraZeneca Pharma India Limited","ASTRAZEN.NS"
179,"ASTRON","Astron Paper & Board Mill Limited","ASTRON.NS"
180,"ATALREAL","Atal Realtech Limited","ATALREAL.NS"
